compound,Tc,source
CdTe,"[0.59, 0.768, 0.773, 1.06, 1.152, 1.31, 1.41, 1.41, 1.45, 1.45, 1.45, 1.45, 1.49, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 1.54, 1.59, 1.6, 1.6, 1.6, 1.66, 2.55, 7.825, 8.63, 9.5]","['10.1016/j.solener.2010.10.006', '10.1016/j.bios.2019.111958', '10.1016/j.tsf.2013.04.067', '10.1016/j.solener.2020.10.015', '10.1016/j.elspec.2006.10.008', '10.1016/j.jpcs.2019.01.033', '10.1016/j.matpr.2020.01.561', '10.1016/j.matpr.2020.01.561', '10.1016/j.cocom.2022.e00640', '10.1016/j.cplett.2020.138272', '10.1016/j.cplett.2020.138272', '10.1016/j.cplett.2020.138272', '10.1016/j.cplett.2020.138272', '10.1016/j.cplett.2020.138272', '10.1016/j.cplett.2020.138272', '10.1016/j.physb.2006.04.008', '10.1016/S0927-0248(99)00035-5', '10.1016/S0378-4371(99)00430-6', '10.1016/j.solmat.2022.111971', '10.1016/S0375-9601(99)00521-6', '10.1016/j.physb.2018.06.035', '10.1016/j.physb.2018.06.035', '10.1016/j.jallcom.2013.07.096', '10.1016/j.jpcs.2019.01.033', '10.1016/j.physe.2022.115559', '10.1016/j.nimb.2010.11.064', '10.1016/j.susc.2017.02.001', '10.1016/j.surfin.2021.101458', '10.1016/j.commatsci.2020.109818', '10.1016/j.surfin.2021.101126', '10.1016/j.surfin.2021.101126', '10.1016/j.solmat.2022.111971', '10.1016/j.ijleo.2020.164567']"
SnBi,[0.4],['10.1016/j.jpcs.2022.111131']
Mn0.9Co2Si1,[0.68],['10.1016/j.jmmm.2014.07.033']
Ba3Lu2(B2O5)3,"[5.06, 6.0]","['10.1016/j.ceramint.2018.12.220', '10.1016/j.ceramint.2018.12.220']"
ZnS,"[0.49, 1.0, 1.5, 1.74, 1.81, 1.85, 2.148, 2.15, 2.45, 3.12, 3.3205, 3.41, 3.47, 3.48, 3.54, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.6, 3.63, 3.66, 3.67, 3.68, 3.68, 3.68, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.7, 3.72, 3.77, 3.78, 3.8, 3.82, 3.9, 4.217, 5.0, 12.0, 12.0, 12.0]","['10.1016/j.mseb.2022.115983', '10.1016/j.mseb.2019.114401', '10.1016/j.matchemphys.2016.08.019', '10.1016/j.commatsci.2015.01.011', '10.1016/j.apsusc.2016.11.210', '10.1016/j.jmmm.2015.10.121', '10.1016/j.jmmm.2015.10.121', '10.1016/j.ijhydene.2019.03.242', '10.1016/j.apcata.2012.03.038', '10.1016/j.commatsci.2019.109492', '10.1016/j.mssp.2020.105326', '10.1016/j.jallcom.2014.10.079', '10.1016/j.physb.2022.414335', '10.1016/j.ijleo.2017.06.122', '10.1016/j.ssc.2014.12.018', '10.1016/j.jallcom.2012.11.201', '10.1016/j.cplett.2021.138653', '10.1016/j.physleta.2010.08.030', '10.1016/j.jallcom.2018.09.192', '10.1016/j.physb.2019.08.003', '10.1016/j.ssc.2005.10.029', '10.1016/j.cocom.2021.e00632', '10.1016/j.cocom.2021.e00632', '10.1016/j.jpcs.2018.01.011', '10.1016/j.jpcs.2018.01.011', '10.1016/j.jmmm.2015.10.121', '10.1016/j.jmmm.2015.10.121', '10.1016/j.jmmm.2015.10.121', '10.1016/j.jmmm.2015.10.121', '10.1016/j.cap.2016.03.002', '10.1016/j.ijleo.2020.165921', '10.1016/j.jallcom.2008.12.118', '10.1016/j.jallcom.2020.154052', '10.1016/j.jphotochemrev.2022.100569', '10.1016/j.apcata.2012.03.038', '10.1016/j.apcata.2012.03.038', '10.1016/j.cplett.2006.11.022', '10.1016/j.mssp.2020.105326', '10.1016/j.mssp.2020.105326', '10.1016/j.matlet.2022.132651', '10.1016/j.physb.2022.414335', '10.1016/j.heliyon.2022.e08903', '10.1016/j.physleta.2014.09.036', '10.1016/j.apsusc.2009.07.068', '10.1016/j.surfin.2021.101126', '10.1016/j.commatsci.2015.05.028']"
TiS3,"[0.9, 1.0, 1.0, 1.16]","['10.1016/j.mssp.2021.105699', '10.1016/j.mssp.2021.105699', '10.1016/j.mssp.2021.105699', '10.1016/j.mssp.2021.105699']"
ZnO,"[0.128, 0.23, 0.35, 0.4, 0.401, 0.44, 0.61, 0.71, 0.72, 0.726, 0.73, 0.73, 0.73, 0.731, 0.731, 0.739, 0.74, 0.74, 0.741, 0.746, 0.76, 0.772, 0.7765, 0.7765, 0.778, 0.79, 0.792, 0.802, 0.802, 0.81, 0.81, 0.81, 0.85, 0.873, 0.935, 0.936, 0.946, 0.967, 1.021, 1.025, 1.1, 1.164, 1.18, 1.2, 1.3239999999999998, 1.347, 1.378, 1.42, 1.49, 1.56, 1.6, 1.63, 1.66, 1.66, 1.66, 1.66, 1.66, 1.66, 1.66, 1.672, 1.672, 1.672, 1.7, 1.73, 1.79, 1.8, 1.8, 1.82, 1.82, 1.826, 1.83, 1.91, 1.97, 1.97, 1.985, 2.002, 2.02, 2.1835, 2.257, 2.286, 2.34, 2.45, 2.514, 2.557, 2.58, 2.64, 2.65, 2.7, 2.708, 2.75, 2.79, 2.88, 2.882, 2.9, 2.913, 2.92, 2.96, 3.0, 3.0, 3.0, 3.06, 3.064, 3.1, 3.1, 3.1, 3.11, 3.12, 3.16, 3.17, 3.172, 3.18, 3.18, 3.19, 3.19, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.2, 3.24, 3.24, 3.25, 3.27, 3.27, 3.277, 3.279, 3.28, 3.28, 3.28, 3.3, 3.3, 3.3, 3.3, 3.3, 3.3, 3.3, 3.3, 3.3, 3.3, 3.3, 3.3, 3.3, 3.3, 3.3, 3.3, 3.3, 3.3, 3.3, 3.3, 3.3, 3.3, 3.3, 3.3, 3.3, 3.3, 3.307, 3.31, 3.31, 3.32, 3.32, 3.328, 3.33, 3.34, 3.34, 3.34, 3.35, 3.35, 3.35, 3.35, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.37, 3.374, 3.38, 3.38, 3.39, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.4, 3.413, 3.434, 3.44, 3.44, 3.44, 3.44, 3.44, 3.44, 3.44, 3.44, 3.44, 3.44, 3.47, 3.5, 3.5, 3.51, 3.54, 3.57, 3.592, 3.6, 3.6500000000000004, 3.6799999999999997, 3.7, 3.9, 3.9, 4.0, 4.0, 4.0, 4.0, 4.0, 4.085, 4.217, 4.37, 4.435, 4.456, 4.5, 4.574, 4.6049999999999995, 4.71, 4.71, 4.71, 4.72, 4.72, 5.0, 5.029, 5.05, 5.09, 5.13, 5.140000000000001, 5.23, 7.0, 8.38]","['10.1016/j.mtcomm.2023.105451', '10.1016/j.mtcomm.2023.105451', '10.1016/j.ijleo.2016.11.086', '10.1016/j.tsf.2005.01.067', '10.1016/j.comptc.2017.04.005', '10.1016/j.mtcomm.2021.102722', '10.1016/j.physe.2011.04.021', '10.1016/j.mssp.2015.07.065', '10.1016/j.mssp.2015.07.065', '10.1016/j.jallcom.2017.03.304', '10.1016/j.jpcs.2013.03.011', '10.1016/j.physb.2011.07.029', '10.1016/j.matchemphys.2019.122065', '10.1016/j.elspec.2019.146892', '10.1016/j.jmmm.2015.09.015', '10.1016/j.apsusc.2021.152222', '10.1016/j.jallcom.2014.04.213', '10.1016/j.ceramint.2018.12.188', '10.1016/j.mtcomm.2022.104181', '10.1016/j.mtcomm.2022.104181', '10.1016/j.mtcomm.2022.104181', '10.1016/j.mtcomm.2022.104181', '10.1016/j.physleta.2010.12.064', '10.1016/j.physleta.2010.12.064', '10.1016/j.theochem.2008.07.007', '10.1016/j.tsf.2023.139698', '10.1016/j.tsf.2023.139698', '10.1016/j.est.2022.106499', '10.1016/j.ssc.2022.114667', '10.1016/j.cplett.2022.139464', '10.1016/j.jpcs.2018.10.014', '10.1016/j.mssp.2015.03.022', '10.1016/j.physb.2012.02.030', '10.1016/j.jallcom.2019.05.044', '10.1016/j.jallcom.2019.05.044', '10.1016/j.jmmm.2017.10.118', '10.1016/j.physe.2018.12.030', '10.1016/j.physe.2018.12.030', '10.1016/j.molstruc.2022.134244', '10.1016/j.jmmm.2021.168707', '10.1016/j.jmmm.2021.168707', '10.1016/j.jmmm.2021.168707', '10.1016/j.jmmm.2013.10.008', '10.1016/j.jpcs.2009.04.009', '10.1016/j.jmgm.2020.107753', '10.1016/j.jmgm.2020.107753', '10.1016/j.jmgm.2020.107753', '10.1016/j.jmgm.2020.107753', '10.1016/j.tsf.2020.138296', '10.1016/j.optmat.2022.112398', '10.1016/j.cocom.2021.e00627', '10.1016/j.cocom.2021.e00627', '10.1016/j.cocom.2021.e00627', '10.1016/j.cocom.2021.e00627', '10.1016/j.tsf.2012.11.046', '10.1016/j.spmi.2017.04.041', '10.1016/j.elspec.2015.03.004', '10.1016/j.mseb.2020.115008', '10.1016/j.physe.2018.01.002', '10.1016/j.physe.2018.01.002', '10.1016/j.physb.2023.414903', '10.1016/j.physb.2023.414903', '10.1016/j.cocom.2021.e00558', '10.1016/j.chemphys.2021.111333', '10.1016/j.tsf.2011.05.049', '10.1016/j.mseb.2020.114710', '10.1016/j.mseb.2020.114710', '10.1016/j.physb.2022.414181', '10.1016/j.physb.2022.414181', '10.1016/j.cap.2008.12.051', '10.1016/j.mseb.2022.116019', '10.1016/j.physleta.2019.126172', '10.1016/j.physe.2019.113650', '10.1016/j.jallcom.2022.165183', '10.1016/j.physe.2017.03.017', '10.1016/j.physe.2017.03.017', '10.1016/j.mseb.2022.115793', '10.1016/j.jmmm.2016.09.027', '10.1016/j.apcatb.2017.05.059', '10.1016/j.jpcs.2006.04.005', '10.1016/j.physb.2011.12.008', '10.1016/j.mseb.2020.114517', '10.1016/j.mseb.2020.114517', '10.1016/j.jallcom.2020.157142', '10.1016/j.tsf.2020.137861', '10.1016/j.jmmm.2016.02.050', '10.1016/j.ceramint.2019.01.004', '10.1016/j.physe.2019.04.024', '10.1016/j.physe.2019.04.024', '10.1016/j.physb.2007.08.192', '10.1016/j.solidstatesciences.2022.106880', '10.1016/j.jallcom.2017.04.024', '10.1016/j.nimb.2008.03.183', '10.1016/j.elspec.2012.11.015', '10.1016/j.jmrt.2022.05.190', '10.1016/j.matchemphys.2016.07.024', '10.1016/j.physe.2011.12.010', '10.1016/j.ijleo.2018.10.135', '10.1016/j.commatsci.2017.10.045', '10.1016/j.commatsci.2017.10.045', '10.1016/j.cocom.2018.03.001', '10.1016/j.cocom.2018.03.001', '10.1016/j.comptc.2023.114112', '10.1016/j.susc.2019.03.006', '10.1016/j.physb.2015.06.009', '10.1016/j.susc.2021.121978', '10.1016/j.mssp.2020.105494', '10.1016/j.jpcs.2010.02.001', '10.1016/j.mser.2003.12.002', '10.1016/j.ceramint.2016.03.238', '10.1016/j.ceramint.2016.03.238', '10.1016/j.ceramint.2016.03.238', '10.1016/j.ceramint.2016.03.238', '10.1016/j.commatsci.2017.06.032', '10.1016/j.commatsci.2017.06.032', '10.1016/j.commatsci.2017.06.032', '10.1016/j.commatsci.2017.06.032', '10.1016/j.cplett.2021.138765', '10.1016/j.cplett.2021.138765', '10.1016/j.physb.2023.414661', '10.1016/j.vacuum.2019.109127', '10.1016/j.vacuum.2019.109127', '10.1016/j.mtcomm.2021.102511', '10.1016/j.jallcom.2016.10.279', '10.1016/j.physb.2011.10.045', '10.1016/j.physb.2011.10.045', '10.1016/j.physe.2005.03.004', '10.1016/j.physe.2018.10.032', '10.1016/j.ceramint.2007.09.095', '10.1016/j.materresbull.2015.02.020', '10.1016/j.carbon.2011.05.018', '10.1016/j.carbon.2011.05.018', '10.1016/j.ijleo.2016.10.032', '10.1016/j.tsf.2014.04.037', '10.1016/j.tsf.2014.04.037', '10.1016/j.tsf.2014.04.037', '10.1016/j.tsf.2014.04.037', '10.1016/j.tsf.2014.04.037', '10.1016/j.tsf.2010.12.204', '10.1016/j.chemphys.2019.110460', '10.1016/j.jallcom.2013.11.066', '10.1016/j.ssc.2020.114166', '10.1016/j.ssc.2020.114166', '10.1016/j.physb.2004.02.011', '10.1016/j.physleta.2008.06.031', '10.1016/j.physb.2018.07.007', '10.1016/j.susc.2014.03.003', '10.1016/j.mssp.2021.106179', '10.1016/j.tsf.2015.05.035', '10.1016/j.matlet.2009.11.024', '10.1016/j.physe.2008.09.013', '10.1016/j.optmat.2012.10.022', '10.1016/j.ceramint.2014.10.058', '10.1016/j.mssp.2022.107189', '10.1016/j.jmmm.2014.05.039', '10.1016/j.jmmm.2014.05.039', '10.1016/j.physb.2018.11.064', '10.1016/j.physb.2018.11.064', '10.1016/j.physb.2018.11.064', '10.1016/j.commatsci.2019.109120', '10.1016/j.commatsci.2019.109120', '10.1016/j.physb.2019.411720', '10.1016/j.jmmm.2009.03.037', '10.1016/j.optmat.2014.10.058', '10.1016/j.optmat.2014.10.058', '10.1016/j.matchemphys.2020.123617', '10.1016/j.jallcom.2014.09.037', '10.1016/j.tsf.2015.09.026', '10.1016/j.jallcom.2014.07.098', '10.1016/j.jallcom.2014.07.098', '10.1016/j.physleta.2009.12.031', '10.1016/j.jpcs.2020.109580', '10.1016/j.physb.2021.413023', '10.1016/j.ssc.2008.09.056', '10.1016/j.rinp.2019.102829', '10.1016/j.jnoncrysol.2021.120726', '10.1016/j.jnoncrysol.2021.120726', '10.1016/j.surfin.2020.100649', '10.1016/j.apsusc.2020.148767', '10.1016/j.jallcom.2014.10.022', '10.1016/j.mtcomm.2020.101929', '10.1016/j.mtcomm.2020.101929', '10.1016/j.optmat.2023.113751', '10.1016/j.commatsci.2011.10.003', '10.1016/j.commatsci.2011.10.003', '10.1016/j.apsusc.2022.155857', '10.1016/j.apsusc.2022.155857', '10.1016/j.ssc.2012.04.066', '10.1016/j.vacuum.2020.109749', '10.1016/j.vacuum.2020.109749', '10.1016/j.sna.2017.11.053', '10.1016/j.vacuum.2020.109232', '10.1016/j.molstruc.2020.128148', '10.1016/j.compositesb.2019.106987', '10.1016/j.physe.2013.03.016', '10.1016/j.mtcomm.2022.104441', '10.1016/j.mtcomm.2022.104441', '10.1016/j.commatsci.2015.02.035', '10.1016/j.commatsci.2013.09.021', '10.1016/j.vacuum.2019.04.003', '10.1016/j.jmmm.2018.04.041', '10.1016/j.jallcom.2014.07.218', '10.1016/j.jallcom.2014.07.218', '10.1016/j.jallcom.2019.05.257', '10.1016/j.jallcom.2019.03.032', '10.1016/j.ceramint.2020.10.002', '10.1016/j.jallcom.2010.04.115', '10.1016/S0921-4526(02)01517-X', '10.1016/j.micron.2006.06.003', '10.1016/j.micron.2006.06.003', '10.1016/j.chemphys.2020.110826', '10.1016/j.chemphys.2020.110826', '10.1016/j.tsf.2009.12.033', '10.1016/j.mee.2013.01.061', '10.1016/j.mee.2013.01.061', '10.1016/j.vacuum.2020.110008', '10.1016/j.spmi.2013.08.029', '10.1016/j.vacuum.2018.09.053', '10.1016/j.ijleo.2015.07.167', '10.1016/S0921-4526(01)00834-1', '10.1016/j.matpr.2019.11.274', '10.1016/j.matpr.2020.12.593', '10.1016/j.physleta.2020.126726', '10.1016/j.apsusc.2019.02.129', '10.1016/j.mtcomm.2021.102722', '10.1016/j.jpcs.2017.01.028', '10.1016/j.physb.2011.07.029', '10.1016/j.jlumin.2016.12.008', '10.1016/j.jpcs.2021.110501', '10.1016/j.jpcs.2021.110501', '10.1016/j.jpcs.2018.10.014', '10.1016/j.jpcs.2018.10.014', '10.1016/j.jpcs.2018.10.014', '10.1016/j.jmgm.2020.107753', '10.1016/j.physb.2018.04.022', '10.1016/j.spmi.2017.04.041', '10.1016/j.surfin.2022.101817', '10.1016/j.surfin.2022.101817', '10.1016/j.ijleo.2020.165921', '10.1016/j.apcata.2012.03.038', '10.1016/j.cocom.2021.e00558', '10.1016/j.cocom.2021.e00558', '10.1016/j.jphotochem.2018.11.005', '10.1016/j.jallcom.2022.165183', '10.1016/j.jallcom.2022.165183', '10.1016/j.ijhydene.2022.02.008', '10.1016/j.physb.2019.411766', '10.1016/j.physb.2019.411766', '10.1016/j.orgel.2020.105761', '10.1016/j.orgel.2020.105761', '10.1016/j.cplett.2006.11.022', '10.1016/j.mssp.2021.106012', '10.1016/j.tsf.2020.137861', '10.1016/j.solmat.2014.09.029', '10.1016/j.jlumin.2022.119112', '10.1016/j.mssp.2020.105326', '10.1016/j.mssp.2020.105326', '10.1016/j.jphotochem.2021.113399', '10.1016/j.jphotochem.2021.113399', '10.1016/j.arabjc.2021.103518', '10.1016/j.arabjc.2021.103518', '10.1016/j.arabjc.2021.103518', '10.1016/j.arabjc.2021.103518', '10.1016/j.rinp.2021.104827', '10.1016/j.matlet.2022.132651', '10.1016/j.cocom.2018.03.001', '10.1016/j.comptc.2023.114112', '10.1016/j.comptc.2023.114112', '10.1016/j.comptc.2023.114112', '10.1016/j.comptc.2023.114112', '10.1016/j.comptc.2023.114112', '10.1016/j.comptc.2023.114112', '10.1016/j.comptc.2023.114112', '10.1016/j.jmmm.2017.12.031', '10.1016/j.jmmm.2017.12.031', '10.1016/j.cplett.2021.138765', '10.1016/j.nanoen.2012.03.001', '10.1016/j.physb.2023.414661', '10.1016/j.physb.2023.414661', '10.1016/j.physb.2023.414661', '10.1016/j.mtcomm.2021.102511', '10.1016/j.heliyon.2022.e08903', '10.1016/j.spmi.2020.106445', '10.1016/j.ijleo.2017.06.121', '10.1016/j.matpr.2020.05.212', '10.1016/j.physb.2018.11.064', '10.1016/j.physb.2018.11.064', '10.1016/j.physb.2018.11.064', '10.1016/j.physb.2018.11.064', '10.1016/j.physb.2019.411720', '10.1016/j.apsusc.2017.03.111', '10.1016/j.apsusc.2017.03.111', '10.1016/j.spmi.2015.03.047', '10.1016/j.mseb.2021.115220', '10.1016/j.optmat.2023.113751', '10.1016/j.commatsci.2011.10.003', '10.1016/j.commatsci.2011.10.003', '10.1016/j.apsusc.2018.10.132', '10.1016/j.apsusc.2022.155857', '10.1016/j.apsusc.2022.155857', '10.1016/j.mtcomm.2022.104441', '10.1016/j.mtcomm.2022.104441', '10.1016/j.commatsci.2013.09.021', '10.1016/j.commatsci.2013.09.021', '10.1016/j.jallcom.2014.07.218', '10.1016/j.jallcom.2014.07.218', '10.1016/j.ssc.2016.12.010', '10.1016/j.ssc.2016.12.010', '10.1016/j.jallcom.2019.05.257', '10.1016/j.jallcom.2019.05.257', '10.1016/j.physb.2018.01.035', '10.1016/j.physb.2018.01.035', '10.1016/j.ijleo.2019.163631', '10.1016/j.susc.2010.04.026', '10.1016/j.vacuum.2022.111721', '10.1016/j.matpr.2019.11.274', '10.1016/j.matpr.2019.11.274', '10.1016/j.matpr.2019.11.274', '10.1016/j.matpr.2019.11.274']"
Cs2SnI6,"[0.358, 0.971, 0.988, 1.21, 1.21, 1.3, 1.4, 1.4500000000000002, 1.48]","['10.1016/j.mssp.2020.105579', '10.1016/j.jssc.2021.122602', '10.1016/j.chemphys.2020.111075', '10.1016/j.materresbull.2021.111613', '10.1016/j.cplett.2020.138053', '10.1016/j.commatsci.2022.111961', '10.1016/j.commatsci.2022.111961', '10.1016/j.commatsci.2022.111961', '10.1016/j.commatsci.2022.111961', '10.1016/j.chemphys.2020.111075']"
Cs2TeI6,"[2.19, 2.19]","['10.1016/j.mssp.2020.105579', '10.1016/j.cplett.2020.137538']"
AlAgO2,"[1.5, 2.8]","['10.1016/j.cjph.2018.09.018', '10.1016/j.cjph.2018.09.018']"
