compound,Tc,source
Ni,"[0.00000e+00 5.80000e+00 6.00000e+00 6.00000e+00 1.20000e+01 1.70000e+01
 2.30000e+01 4.70000e+01 5.60000e+01 6.00000e+01 7.00000e+01 8.99500e+01
 9.05000e+01 9.50000e+01 1.10000e+02 1.25000e+02 1.50000e+02 1.52000e+02
 1.55000e+02 1.90000e+02 1.92000e+02 2.04000e+02 2.05000e+02 2.29900e+02
 2.50000e+02 2.80000e+02 2.95000e+02 2.95000e+02 2.95000e+02 3.06000e+02
 3.13500e+02 3.15000e+02 3.17150e+02 3.19150e+02 3.32000e+02 3.33000e+02
 4.00000e+02 4.08000e+02 4.50000e+02 4.56000e+02 4.60000e+02 4.93000e+02
 5.23000e+02 5.47500e+02 5.50000e+02 5.50000e+02 5.59000e+02 5.65000e+02
 5.65000e+02 5.73150e+02 5.96000e+02 6.17150e+02 6.25000e+02 6.26000e+02
 6.27000e+02 6.27000e+02 6.27000e+02 6.27000e+02 6.27000e+02 6.27150e+02
 6.27150e+02 6.27550e+02 6.28000e+02 6.29150e+02 6.29500e+02 6.29500e+02
 6.30000e+02 6.30000e+02 6.30000e+02 6.30000e+02 6.30000e+02 6.30000e+02
 6.30000e+02 6.30000e+02 6.30000e+02 6.31000e+02 6.31000e+02 6.31000e+02
 6.31000e+02 6.31000e+02 6.31000e+02 6.31000e+02 6.31000e+02 6.31000e+02
 6.31000e+02 6.60000e+02 6.72000e+02 6.99000e+02 7.03150e+02 7.03150e+02
 7.17000e+02 7.32000e+02 9.00000e+02 9.04150e+02 1.04315e+03 1.38000e+03
 1.40200e+03 1.72800e+03 6.25720e+04]","['10.1016/0304-8853(84)90113-6' '10.1016/S0014-3057(00)00171-3'
 '10.1016/S0022-328X(01)00902-0' '10.1016/S0022-328X(01)00902-0'
 '10.1016/S0022-3697(98)00336-9' '10.1016/S0022-3697(98)00336-9'
 '10.1016/S0022-3697(98)00336-9' '10.1016/S0304-8853(02)00032-X'
 '10.1016/S0304-8853(02)01494-4' '10.1016/S0304-8853(96)00745-7'
 '10.1016/S0304-8853(98)00386-2' '10.1016/S0304-8853(98)00386-2'
 '10.1016/S0928-4931(01)00225-9' '10.1016/S0928-4931(01)00225-9'
 '10.1016/j.actamat.2009.05.020' '10.1016/j.calphad.2012.07.002'
 '10.1016/j.ceramint.2020.05.175' '10.1016/j.compositesb.2003.08.002'
 '10.1016/j.diamond.2012.02.019' '10.1016/j.ijrmhm.2019.105001'
 '10.1016/j.intermet.2010.06.002' '10.1016/j.jallcom.2006.01.114'
 '10.1016/j.jallcom.2006.06.003' '10.1016/j.jallcom.2006.07.126'
 '10.1016/j.jallcom.2006.07.126' '10.1016/j.jallcom.2006.07.126'
 '10.1016/j.jallcom.2014.09.078' '10.1016/j.jallcom.2014.09.078'
 '10.1016/j.jallcom.2014.10.182' '10.1016/j.jallcom.2015.02.037'
 '10.1016/j.jallcom.2016.04.307' '10.1016/j.jallcom.2017.07.015'
 '10.1016/j.jallcom.2018.06.257' '10.1016/j.jallcom.2019.03.189'
 '10.1016/j.jallcom.2021.161475' '10.1016/j.jmmm.2003.12.451'
 '10.1016/j.jmmm.2004.04.115' '10.1016/j.jmmm.2004.04.115'
 '10.1016/j.jmmm.2004.09.079' '10.1016/j.jmmm.2005.10.220'
 '10.1016/j.jmmm.2006.01.031' '10.1016/j.jmmm.2006.02.091'
 '10.1016/j.jmmm.2006.03.022' '10.1016/j.jmmm.2006.10.495'
 '10.1016/j.jmmm.2007.10.022' '10.1016/j.jmmm.2010.07.016'
 '10.1016/j.jmmm.2010.07.020' '10.1016/j.jmmm.2011.05.005'
 '10.1016/j.jmmm.2011.09.006' '10.1016/j.jmmm.2012.02.027'
 '10.1016/j.jmmm.2013.01.027' '10.1016/j.jmmm.2013.01.027'
 '10.1016/j.jmmm.2015.05.059' '10.1016/j.jmmm.2015.10.088'
 '10.1016/j.jmmm.2015.10.088' '10.1016/j.jmmm.2016.07.029'
 '10.1016/j.jmmm.2018.07.020' '10.1016/j.jmmm.2018.09.098'
 '10.1016/j.jmmm.2019.165253' '10.1016/j.jmmm.2019.165830'
 '10.1016/j.jmmm.2020.166667' '10.1016/j.jmmm.2020.167363'
 '10.1016/j.jmmm.2020.167722' '10.1016/j.jmmm.2021.167864'
 '10.1016/j.jnoncrysol.2013.02.019' '10.1016/j.jnoncrysol.2013.02.019'
 '10.1016/j.jnoncrysol.2017.03.005' '10.1016/j.jssc.2019.02.007'
 '10.1016/j.jssc.2019.02.007' '10.1016/j.materresbull.2019.110576'
 '10.1016/j.matlet.2006.08.029' '10.1016/j.matlet.2010.10.019'
 '10.1016/j.molstruc.2020.129662' '10.1016/j.mseb.2008.07.001'
 '10.1016/j.partic.2011.11.011' '10.1016/j.physb.2006.05.236'
 '10.1016/j.physb.2007.04.073' '10.1016/j.physb.2018.08.038'
 '10.1016/j.physb.2019.06.032' '10.1016/j.physb.2019.06.032'
 '10.1016/j.physb.2019.06.032' '10.1016/j.ssc.2009.04.015'
 '10.1016/j.surfin.2017.02.006' '10.1016/j.surfrep.2006.02.001'
 '10.1016/j.surfrep.2008.12.003' '10.1016/j.tsf.2011.02.007'
 '10.1016/j.tsf.2013.01.006' '10.1016/j.tsf.2013.01.049'
 'Anzai1978-PRB-18-2173' 'Coey2009-MagnetismAndMagneticMaterials'
 'Goyal2016-SST-29-075008' 'Huang2020-PRL-124-117203'
 'Lamichhane2016-JMMM-401-525' 'Lamichhane2016-JMMM-401-525'
 'Lin2022-PRB-105-024429' 'Schroeder2011-JPCM-23-094205'
 'Smith2012-AEM-2-1288' 'UbaidKassis2010-PRL-104-066402'
 'Zhao2007-Methods-for-Phase-Diagram-Determination']"
Co5P4(HO2)10,[17.],['10.1016/j.jssc.2007.03.012']
Sn,"[  2.36   2.4   42.    78.   100.   200.   254.   314.   320.   320.
 350.   355.   373.   536.  ]","['10.1016/S0921-4534(03)01330-3' '10.1016/j.cocom.2022.e00666'
 '10.1016/j.cocom.2022.e00666' '10.1016/j.intermet.2018.12.011'
 '10.1016/j.intermet.2018.12.013' '10.1016/j.jallcom.2006.06.099'
 '10.1016/j.jmmm.2008.05.030' '10.1016/j.jmmm.2010.03.006'
 '10.1016/j.jmmm.2015.11.061' '10.1016/j.jssc.2006.02.024'
 '10.1016/j.ssc.2017.09.003' 'Krylov2002-JAC-343-32'
 'Plugaru1996-JMMM-157-647' 'Yu2009-PRB-79-020511']"
Tm1In0.1Ga0.9,[10.6],['10.1016/j.jallcom.2021.163236']
Cr2FeS4,[165. 168. 170. 170. 172. 173. 174. 177. 200. 220. 240. 450.],"['10.1016/S0022-3697(02)00308-6' '10.1016/S0038-1098(00)00241-6'
 '10.1016/S0038-1098(00)00241-6' '10.1016/S0304-8853(01)01167-2'
 '10.1016/j.jmmm.2006.02.136' '10.1016/j.jmmm.2008.02.084'
 '10.1016/j.jmmm.2019.166090' '10.1016/j.jpcs.2005.09.040'
 '10.1016/j.matchemphys.2008.07.093' '10.1016/j.matchemphys.2008.07.093'
 '10.1016/j.matchemphys.2016.02.056' '10.1016/j.physrep.2021.04.002']"
LiMn2O4,[130.],['10.1016/j.physb.2010.08.050']
Li1Mn1.5Fe0.5O4,[34.],['10.1016/j.physb.2010.08.050']
Mn5Ge3,"[  8.  285.  292.  296.  296.  296.  296.  296.  296.  296.  296.  296.
 297.5 298.  298.  298.  299.  300.  300.  300.  300.  300.  300.  300.
 304.  304.  310.  310. ]","['10.1016/S0304-8853(00)00494-7' '10.1016/S0925-8388(00)01111-7'
 '10.1016/S0925-8388(01)01935-1' '10.1016/j.apsusc.2017.09.195'
 '10.1016/j.cap.2005.11.044' '10.1016/j.intermet.2017.05.013'
 '10.1016/j.intermet.2017.05.013' '10.1016/j.jallcom.2019.04.206'
 '10.1016/j.jallcom.2021.159908' '10.1016/j.jcrysgro.2008.12.013'
 '10.1016/j.jmmm.2004.09.020' '10.1016/j.jmmm.2012.07.031'
 '10.1016/j.jmmm.2012.07.031' '10.1016/j.jmmm.2016.09.007'
 '10.1016/j.jmmm.2018.10.096' '10.1016/j.jmmm.2021.168325'
 '10.1016/j.jmmm.2021.168731' '10.1016/j.jmmm.2021.168827'
 '10.1016/j.jmmm.2022.169539' '10.1016/j.jssc.2016.12.010'
 '10.1016/j.jssc.2016.12.010' '10.1016/j.jssc.2016.12.010'
 '10.1016/j.mssp.2006.08.057' '10.1016/j.physb.2008.07.030'
 '10.1016/j.susc.2006.11.077' '10.1016/j.susc.2007.06.020'
 '10.1016/j.tsf.2005.10.038' '10.1016/j.tsf.2009.10.067']"
MnP,"[  1.5   1.5 115.  250.4 260.  270.  280.5 289.  290.  291.  291.  291.
 291.  291.  291.  291.5 295.  298.  345.  420.  495.  583.  780. ]","['10.1016/0022-4596(72)90154-5' '10.1016/S0022-0248(01)02184-4'
 '10.1016/j.jallcom.2016.08.190' '10.1016/j.jallcom.2016.08.190'
 '10.1016/j.jallcom.2016.08.190' '10.1016/j.jallcom.2016.08.190'
 '10.1016/j.jallcom.2016.08.190' '10.1016/j.jcrysgro.2005.04.051'
 '10.1016/j.jmmm.2006.01.195' '10.1016/j.jmmm.2007.03.015'
 '10.1016/j.jmmm.2010.03.022' '10.1016/j.jssc.2008.03.012'
 '10.1016/j.jssc.2008.03.012' '10.1016/j.physe.2021.114939'
 '10.1016/j.physe.2021.114939' '10.1016/j.physe.2021.114939'
 '10.1016/j.physe.2021.114939' '10.1016/j.ssc.2006.01.050'
 '10.1016/j.ssc.2007.08.005' '10.1016/j.ssc.2007.08.005'
 '10.1016/j.ssc.2007.08.005' '10.1016/j.ssc.2007.08.005'
 'Matsuda2016-PRB-93-100405']"
P,[  2.9   16.5   99.   330.   665.95],"['10.1016/j.jallcom.2020.154784' '10.1016/j.jmmm.2006.10.1028'
 '10.1016/j.jmmm.2012.11.041' 'Croat1984-JAP-55-2078'
 'Hirai2012-PRB-86-100505']"
