compound,Tc,source
iron,1041 K,2
Fe,1930 K,15
HoCo2Mn,248 K,18
Cr2Ge2Te6,66 K,27
"(Ga1-x,Fex)Sb",300 K,33
MnSn,~54 K,38
MnSn,~235 K,38
Sn0.95Co0.05O2-d,650 K,41
Li2Fe2SSe,1000 K),48
BaFeO3,700-900 K,49
BaFeO3,111 K,49
Mn,280 K,52
Ge,3.3 K,56
SrRuO3,150 K,67
dry ice,230 K,74
Sr2FeReO6,~400 K),78
Au4Mn,385 K,101
La0.7Sr0.3MnO3,19 K,102
DMS,230 K,105
GeTe,570 K,111
BiFeO3,650 K,135
Tcapprox 227 K,227 K,138
H,~5.5 K),147
EuO,69 K,148
RuSr2GdCu2O8,131 K),156
Tc,21 K),156
FeCl2,25 K,158
CrTe2,305 K,172
Li1.15(Zn0.9Mn0.1)P,~22 K.,174
Ce(Ru0.15Fe0.85)PO,0.3 K,185
Sn0.95Fe0.05O2,610 K,190
Nd2Fe14B,400 K,194
YbIr3Ge7,14 K,195
