compound,Gap,source
MoS2,2.4-2.7 eV,0
C3NH,5 eV,2
graphene,0.8 eV,7
SnS,2.07 to 1.30 eV,9
CsAu,2.6 eV,10
SnSe,1.45 to 1.08 eV,11
TiO2,2.95 eV,13
BiTl9Te6,0.589 eV,15
SbTl9Te6,0.538 eV,15
N-P,3.0 to 1.8 eV,16
Silicene,0.02 eV,17
MoS2,0.2 eV,29
beta-Ga2O3,4.5-4.6 eV,33
CaP3,1.15 eV(,34
CaP3,1.15 to 0.37 eV(,34
BIC,100 meV,35
CrTiNbAl,0.10 eV,36
CSi7,0.25 eV,37
SbVO4,1.89 to 2.36 eV,49
Cu2O,1.88-2.36 eV,50
BiTl9Te6,0.256 eV,52
SbTl9Te6,0.374 eV,52
YPtSb,0.1-0.15 eV,54
wurtzite,0.39 eV,57
Sn(SCN)2,3.9 eV,60
silicon,0.5 eV,63
alpha'-borophene,1.49 eV,64
graphene,50 meV,66
Fe,3.81 eV(0,68
BaMn2Bi2,6 meV,70
MoSe 2 MLs,37 meV,71
Pb-Sn perovskite,1.24 eV),73
Si,2.2 eV,76
ZrTe5,~100 meV,77
carbonophosphate,0.2-1.7 eV,86
beta-(AlxGa1-x)2O3,4.69 to 7.03 eV,87
PtSe2,0.1 eV,88
ZnIn2S4,2.77 eV,97
Mg2NiH4,0.7 and 4.2 eV,98
Mg2NiH4,1.6 eV,98
BaHfO3,3.11 eV),99
Si,1.16 eV,101
CdFeP2Se6,2.23 eV,102
Mn12-Acetate,-0.05 eV,104
GeC2,3.65 eV,107
Gd2C,0.8 eV,112
MPE,2.5 eV,115
SiC2,0.02 eV,116
SiC,1.80 eV,116
stanene,~0.03 eV),117
arsenic phosphorus,1.858 eV,118
AsP,1.858 eV,118
graphene,0.1 eV,119
graphone,1 eV,119
Sr / Si(111)-3x2,1.65-1.68 eV,121
FeSi,73 meV,126
Cr,38 meV,128
NiO,3.6 eV,129
diamond,5.45 eV,130
C60,~2.5 eV,131
Hf,0.8 eV,132
graphene,0.255 eV,133
Na2Ti2As2O,0.15 eV,137
SOC,10 meV,138
YFeO3,1.96 to 1.68 eV,140
T-carbon,3.0 eV,141
titanium trisulfide,1.1 eV,149
TiS3,1.1 eV,149
TiS3,3.2 eV,149
TiO2,3.2 eV,149
MoSe2,1.16 eV,152
TiS3,1.1 eV,153
perovskite,1.63 eV,158
SOC,67 meV(,163
Al4SiC4,2.5 eV,169
Ni0.7Cu0.3AlxFe2-xO4,2.99 eV,172
phosphorene,1.0-0.4 eV,174
NbOXY,1.9 eV,175
NbOXY,2 eV,175
CrBr3,120 meV,176
a-TiO2,3.25 eV,180
NiCl3 monolayer,~24 meV,185
gamma-Sb2O4,3.39 eV,187
Al0.4Ga0.6As,-0.009 eV,188
black phosphorus,~0.6 eV,192
CrSi,90 meV),194
Na,740 meV,195
graphene,0.818 eV,196
graphene,0.239 eV,198
