compound,Gap,source
MoS2,2.4-2.7eV.,0
C3NH,5eV,2
graphene,0.8eV,7
SnS,2.07to1.30eV,9
LiF,6.8eV,10
RbI,3.9eV,10
CsAu,2.6eV,10
SnSe,1.45eVto1.08eV,11
SnSe,0.95eV.,11
TiO2,2.95eV.,13
BiTl9Te6,0.589eV,15
SbTl9Te6,0.538eV,15
TiO2,3.0eVto1.8eV.,16
silicene,2.4eV,17
silicene,2.8eV,17
graphene,9.2eV,17
Silicene,0.02eV,17
MoTe2,0.94 eV,19
Be3B2C3,1.97eV,27
MoGe2Z4,sim237meV.,30
CaP3,1.15eV,34
CaP3,1.15to0.37eV,34
CrTiNbAl,0.10eV.,36
CSi7,0.25eV,37
protomene,3.4eV.,38
SbVO4,1.89eVto2.36eV,49
Cu2O,1.88-2.36eV,50
BiTl9Te6,0.256eV,52
SbTl9Te6,0.374eV,52
YPtSb,0.1-0.15eV,54
InAs,0.39eV,57
Sn(SCN)2,3.9eV,60
borophene,1.49eV,64
graphene,50meV.,66
TiO2,3.81eV,68
TiO2,3.70eV,68
BaMn2Bi2,6meV.,70
Si,2.2eV.,76
ZrTe5,100meV,77
silicene,0.13eV,80
bismuth,0.2eV,84
Bi4Br4,0.18eV,84
stanene,0.1eV,84
(AlxGa1-x)2O3,4.69to7.03eV,87
(AlxGa1-x)2O3,5.26to8.56eV,87
PtSe2,2.0pm0.1,88
PtSe2,1.1pm0.1,88
PtSe2,0.6pm0.1,88
PtSe2,0.20pm0.1eV,88
Si,1.12eV,95
GaAs,1.43eV,95
lead-halideperovskite,1.55eV,95
ZnIn2S4,3.94,97
ZnIn2Se4,2.77eV,97
ZnIn2Te4,1.84eV,97
Mg2NiH4,0.7and4.2eV.,98
Mg2NiH4,1.6eV,98
Mg2NiH4,2.1eV,98
BaHfO3,3.11eV,99
